Model,R2,MAE,RMSE,MAPE (%),DA (%)
Ensemble,-0.06897424466883395,1.9452559719986828,2.3331888188746817,440.19363041118504,47.22222222222222
ElasticNet,-0.07296698252522527,1.9420790892998048,2.3375421176932907,430.84238671177604,50.0
ARIMAX,-0.12046820166651306,2.042800680430868,2.3887243337127497,544.9921869623321,47.22222222222222
Naive,-0.7291633102409227,2.5511111111111116,2.9674558875313455,981.8440937164941,41.66666666666667
